letter	frequency
012-2426-2380	4141.01
012-2426-2381	8235.80
012-2426-2382	3802.26
012-2426-2383	7679.11
012-2426-2384	2624.12
012-2426-2385	408.28
012-2426-2386	2580.85
012-2426-2387	3617.52
012-2426-2388	3724.09
012-2426-2389	3316.93
012-2426-2390	1627.02
012-2426-2391	3421.05
012-2426-2392	2710.58
012-2426-2393	5341.81
012-2426-2394	3660.91
012-2426-2395	3220.09
012-2426-2396	4484.57
012-2426-2398	3473.96
012-2426-2399	4240.80
012-2426-2400	4203.87
012-2426-2401	4645.49
012-2426-2402	6407.47
012-2426-2403	6117.94
012-2426-2405	5254.11
012-2426-2406	6437.94
012-2426-2407	3698.53
012-2426-2408	2140.09
012-2426-2409	1762.50
012-2426-2410	3118.31
012-2426-2411	5768.56
012-2426-2412	8643.03
012-2426-2413	2779.29
012-2426-2414	4940.00
012-2426-2415	5446.83
012-2426-2416	4299.10
012-2426-2417	2361.74
012-2426-2418	6440.38
012-2426-2419	2434.97
012-2426-2420	2837.72
012-2426-2421	3462.41
012-2426-2422	3982.89
012-2426-2423	4532.94
012-2426-2424	5272.37
012-2426-2425	3084.28
012-2426-2426	8146.14
012-2426-2427	4331.87
012-2426-2428	4532.52
012-2426-2429	4922.79
012-2426-2430	4184.86
012-2426-2431	3636.43
012-2426-2432	3250.67
012-2426-2433	2958.24
012-2426-2434	3251.27
012-2426-2435	2200.84
012-2426-2436	7770.39
012-2426-2437	2211.12
012-2426-2438	6033.00
012-2426-2439	907.75
012-2426-2440	3411.77
012-2426-2441	9660.23
012-2426-2442	2300.56
012-2426-2443	7437.23
012-2426-2444	9050.19
012-2426-2445	1735.39
012-2426-2446	4756.42
012-2426-2447	6937.21
012-2426-2448	1825.37
012-2426-2449	2746.91
012-2426-2450	5779.14
012-2426-2451	2437.70
012-2426-2452	2387.46
012-2426-2453	2237.97
012-2426-2454	2560.69
012-2426-2455	1977.41
012-2426-2456	5603.77
012-2426-2457	2548.83
012-2426-2458	910.67
012-2426-2459	2477.50
012-2426-2460	5776.48
012-2426-2461	1685.35
012-2426-2462	5183.79
012-2426-2463	3707.31
012-2426-2464	1196.39
012-2426-2465	3500.71
012-2426-2466	2294.21
